index,caption,category
44,Making pour decisions.,going to the bar
45,Cocktails and conversations.,going to the bar
46,Raise your glass!,going to the bar
47,Liquid therapy.,going to the bar
48,Out for a quick one… or three.,going to the bar
49,Sips and stories all night.,going to the bar
50,Happy hour hits different.,going to the bar
1,Dinner dates and delicious bites.,going to dinner
2,Serving looks and entrees.,going to dinner
3,"Table for two, please.",going to dinner
4,Fine food and finer company.,going to dinner
5,Tasting happiness one dish at a time.,going to dinner
6,"Forks up, it's dinner time.",going to dinner
7,"Eating good, feeling great.",going to dinner
8,Every meal is a memory.,going to dinner
9,Candlelight and conversation.,going to dinner
10,Bon appétit!,going to dinner
11,Dinner dates and delicious bites.,going to dinner
12,Serving looks and entrees.,going to dinner
13,"Table for two, please.",going to dinner
14,Fine food and finer company.,going to dinner
15,Tasting happiness one dish at a time.,going to dinner
16,"Forks up, it's dinner time.",going to dinner
17,"Eating good, feeling great.",going to dinner
18,Every meal is a memory.,going to dinner
19,Candlelight and conversation.,going to dinner
20,Bon appétit!,going to dinner
21,Dinner dates and delicious bites.,going to dinner
22,Serving looks and entrees.,going to dinner
23,"Table for two, please.",going to dinner
24,Fine food and finer company.,going to dinner
25,Tasting happiness one dish at a time.,going to dinner
26,"Forks up, it's dinner time.",going to dinner
27,"Eating good, feeling great.",going to dinner
28,Every meal is a memory.,going to dinner
29,Candlelight and conversation.,going to dinner
30,Bon appétit!,going to dinner
31,Dinner dates and delicious bites.,going to dinner
32,Serving looks and entrees.,going to dinner
33,"Table for two, please.",going to dinner
34,Fine food and finer company.,going to dinner
35,Tasting happiness one dish at a time.,going to dinner
36,"Forks up, it's dinner time.",going to dinner
37,"Eating good, feeling great.",going to dinner
38,Every meal is a memory.,going to dinner
39,Candlelight and conversation.,going to dinner
40,Bon appétit!,going to dinner
41,Dinner dates and delicious bites.,going to dinner
42,Serving looks and entrees.,going to dinner
43,"Table for two, please.",going to dinner
44,Fine food and finer company.,going to dinner
45,Tasting happiness one dish at a time.,going to dinner
46,"Forks up, it's dinner time.",going to dinner
47,"Eating good, feeling great.",going to dinner
48,Every meal is a memory.,going to dinner
49,Candlelight and conversation.,going to dinner
50,Bon appétit!,going to dinner
1,Movie night magic 🎬,going to the movies
2,Popcorn and previews.,going to the movies
3,Catching all the feels on screen.,going to the movies
4,"Big screen, big emotions.",going to the movies
5,Now showing: chill vibes.,going to the movies
6,Theater time = best time.,going to the movies
7,Soundtrack of the night.,going to the movies
8,Grabbed the popcorn and the best seat.,going to the movies
9,Film buffs unite!,going to the movies
10,Living for movie moments.,going to the movies
11,Movie night magic 🎬,going to the movies
12,Popcorn and previews.,going to the movies
13,Catching all the feels on screen.,going to the movies
14,"Big screen, big emotions.",going to the movies
15,Now showing: chill vibes.,going to the movies
16,Theater time = best time.,going to the movies
17,Soundtrack of the night.,going to the movies
18,Grabbed the popcorn and the best seat.,going to the movies
19,Film buffs unite!,going to the movies
20,Living for movie moments.,going to the movies
21,Movie night magic 🎬,going to the movies
22,Popcorn and previews.,going to the movies
23,Catching all the feels on screen.,going to the movies
24,"Big screen, big emotions.",going to the movies
25,Now showing: chill vibes.,going to the movies
26,Theater time = best time.,going to the movies
27,Soundtrack of the night.,going to the movies
28,Grabbed the popcorn and the best seat.,going to the movies
29,Film buffs unite!,going to the movies
30,Living for movie moments.,going to the movies
31,Movie night magic 🎬,going to the movies
32,Popcorn and previews.,going to the movies
33,Catching all the feels on screen.,going to the movies
34,"Big screen, big emotions.",going to the movies
35,Now showing: chill vibes.,going to the movies
36,Theater time = best time.,going to the movies
37,Soundtrack of the night.,going to the movies
38,Grabbed the popcorn and the best seat.,going to the movies
39,Film buffs unite!,going to the movies
40,Living for movie moments.,going to the movies
41,Movie night magic 🎬,going to the movies
42,Popcorn and previews.,going to the movies
43,Catching all the feels on screen.,going to the movies
44,"Big screen, big emotions.",going to the movies
45,Now showing: chill vibes.,going to the movies
46,Theater time = best time.,going to the movies
47,Soundtrack of the night.,going to the movies
48,Grabbed the popcorn and the best seat.,going to the movies
49,Film buffs unite!,going to the movies
50,Living for movie moments.,going to the movies
